"dataset","algorithm","acc.mean","acc.sd","auc.mean","auc.sd","loss.mean","loss.sd","time.mean","time.sd"
"australian","GaussNaiveBayes",0.729,0.0379,0.8185,0.0319,3.6459,1.1724,0.0146,8e-04
"australian","KernelNaiveBayes",0.6952,0.0459,0.7964,0.0293,2.5168,0.6427,0.0406,0.0025
"australian","LinearDiscriminant",0.8522,0.0296,0.9215,0.0159,0.357,0.0413,0.0253,0.0077
"australian","GlmNet",0.8549,0.0273,0.9142,0.0284,0.3855,0.078,0.2479,0.0428
"australian","Cart",0.8522,0.0269,0.8962,0.0246,0.3971,0.0688,0.0188,0.0013
"australian","C4.5DecisionTree",0.8461,0.0269,0.8578,0.044,1.5678,0.8055,0.0613,0.0392
"australian","LinearSvm",0.8522,0.0318,0.9215,0.0215,0.3709,0.0568,3.246,0.4957
"australian","RegGaussBayes-diag",0.7747,0.0273,0.8422,0.0308,1.8601,0.5601,0.0022,5e-04
"australian","RegGaussBayes-lowrank",0.8065,0.0299,0.8598,0.035,0.9961,0.4226,0.0114,0.003
"australian","RegGaussBayes",0.7662,0.0292,0.839,0.029,1.894,0.54,0.0019,3e-04
"australian","BoostedRgb-diag",0.8282,0.0278,0.9039,0.0243,0.4585,0.0884,0.5683,0.0646
"australian","BoostedRgb-lowrank",0.8452,0.0278,0.91,0.0237,0.4844,0.0199,0.7895,0.0975
"australian","BoostedRgb",0.8241,0.0271,0.886,0.0287,0.473,0.0257,0.5393,0.0664
"australian","NonlinearRbfSvm",0.8406,0.0294,0.9154,0.0231,0.3705,0.0521,2.1152,0.0688
"australian","ExtraTrees",0.8519,0.0278,0.9116,0.0178,0.5196,0.191,0.034,0.015
"australian","Adaboost",0.8628,0.0288,0.9152,0.0188,3.4961,0.784,0.6862,0.054
"australian","GradientBoosting",0.8648,0.0249,0.9339,0.0158,0.3402,0.0549,0.329,0.0114
"australian","RandomForest",0.8708,0.0216,0.9351,0.015,0.3649,0.0896,0.146,0.0037
"balance","GaussNaiveBayes",0.9045,0.01,0.957,0.0054,0.4766,0.0162,0.0023,5e-04
"balance","KernelNaiveBayes",0.9125,0.0089,0.9468,0.0055,0.5082,0.0231,0.0076,6e-04
"balance","LinearDiscriminant",0.8696,0.011,0.9764,0.0043,0.3338,0.0166,0.0066,0.0012
"balance","GlmNet",0.8883,0.0214,0.9765,0.0111,0.2927,0.0869,0.2172,0.0035
"balance","Cart",0.7806,0.0304,0.867,0.0238,1.0408,0.3523,0.0055,6e-04
"balance","C4.5DecisionTree",0.7843,0.0251,0.8442,0.0245,4.097,0.9459,0.0296,7e-04
"balance","LinearSvm",0.9168,0.0159,0.9845,0.004,0.243,0.0223,0.3227,0.0232
"balance","RegGaussBayes-diag",0.9032,0.0118,0.9572,0.0054,0.4781,0.0156,0.0021,3e-04
"balance","RegGaussBayes-lowrank",0.8992,0.0178,0.9609,0.0067,0.4401,0.0344,0.0055,0.0017
"balance","RegGaussBayes",0.9069,0.0107,0.9776,0.0035,0.3483,0.017,0.002,0
"balance","BoostedRgb-diag",0.9163,0.0065,0.9359,0.005,0.7228,0.0235,0.2598,0.0449
"balance","BoostedRgb-lowrank",0.9179,0.0089,0.976,0.0042,0.6907,0.0158,0.613,0.0674
"balance","BoostedRgb",0.944,0.0171,0.9901,0.0031,0.5448,0.021,0.2373,0.051
"balance","NonlinearRbfSvm",0.968,0.0153,0.9981,0.0012,0.1094,0.0181,0.6068,0.0071
"balance","ExtraTrees",0.7904,0.0204,0.9191,0.0074,2.7241,0.1938,0.0157,0.0021
"balance","Adaboost",0.7667,0.0258,0.9348,0.0116,5.262,0.7964,0.1618,0.0094
"balance","GradientBoosting",0.9107,0.0117,0.9801,0.0038,0.2917,0.0279,0.0996,0.0016
"balance","RandomForest",0.8493,0.0218,0.9468,0.0074,0.5486,0.1545,0.0393,0.0014
"bands","GaussNaiveBayes",0.4032,0.0193,0.4635,0.0318,3.4264,0.6844,0.0076,5e-04
"bands","KernelNaiveBayes",0.4973,0.0607,0.5484,0.0638,2.0198,0.6305,0.0219,5e-04
"bands","LinearDiscriminant",0.6726,0.0528,0.7285,0.0487,0.6201,0.0524,0.011,0.0019
"bands","GlmNet",0.6712,0.0372,0.7223,0.0414,0.6186,0.0369,0.1674,0.0136
"bands","Cart",0.6219,0.0537,0.6568,0.0517,0.8475,0.3094,0.0111,7e-04
"bands","C4.5DecisionTree",0.6324,0.0591,0.6377,0.0622,6.7502,2.3559,0.0389,0.0021
"bands","LinearSvm",0.6772,0.0382,0.7187,0.0363,0.6222,0.0243,1.6346,0.2613
"bands","RegGaussBayes-diag",0.6384,0.0527,0.6872,0.055,0.9824,0.2958,0.0017,5e-04
"bands","RegGaussBayes-lowrank",0.6717,0.0447,0.7102,0.0566,0.8734,0.252,0.0082,0.0028
"bands","RegGaussBayes",0.6753,0.0378,0.7334,0.0403,0.9533,0.2718,0.0017,5e-04
"bands","BoostedRgb-diag",0.6658,0.0486,0.7253,0.0495,0.6295,0.0856,0.4169,0.0577
"bands","BoostedRgb-lowrank",0.668,0.0389,0.7236,0.04,0.6184,0.0173,0.4908,0.059
"bands","BoostedRgb",0.6767,0.0454,0.744,0.049,0.5989,0.029,0.3729,0.0491
"bands","NonlinearRbfSvm",0.71,0.0389,0.762,0.0408,0.5829,0.0341,0.7185,0.0249
"bands","ExtraTrees",0.7598,0.0394,0.8355,0.031,0.5119,0.0291,0.0183,0.0025
"bands","Adaboost",0.7315,0.0395,0.8041,0.0449,5.6901,1.2557,0.2928,0.0103
"bands","GradientBoosting",0.7,0.0463,0.7875,0.0442,0.6104,0.0902,0.1233,0.0022
"bands","RandomForest",0.7489,0.04,0.818,0.0398,0.5355,0.0352,0.0539,0.001
"breast","GaussNaiveBayes",0.9624,0.0166,0.9669,0.0164,0.8458,0.4042,0.0044,5e-04
"breast","KernelNaiveBayes",0.9642,0.0139,0.991,0.0101,0.3259,0.2212,0.0113,5e-04
"breast","LinearDiscriminant",0.96,0.017,0.9952,0.0028,0.1618,0.0781,0.0101,0.0021
"breast","GlmNet",0.9641,0.0173,0.9942,0.0045,0.094,0.0325,0.182,0.0041
"breast","Cart",0.9427,0.0166,0.9585,0.0157,0.228,0.0888,0.007,7e-04
"breast","C4.5DecisionTree",0.9495,0.0199,0.9622,0.0214,0.6979,0.4685,0.0317,0.0011
"breast","LinearSvm",0.9702,0.0133,0.9949,0.0043,0.0873,0.0315,0.3588,0.0319
"breast","RegGaussBayes-diag",0.9627,0.0161,0.967,0.0164,0.8417,0.4012,0.0017,5e-04
"breast","RegGaussBayes-lowrank",0.952,0.0202,0.9676,0.0167,0.7752,0.374,0.0055,0.0017
"breast","RegGaussBayes",0.9532,0.0184,0.9654,0.0169,0.8074,0.3845,0.0014,5e-04
"breast","BoostedRgb-diag",0.9634,0.016,0.9864,0.0102,0.2219,0.0393,0.4207,0.0603
"breast","BoostedRgb-lowrank",0.9644,0.0174,0.9887,0.0071,0.2901,0.0187,0.4734,0.0642
"breast","BoostedRgb",0.9561,0.0189,0.9858,0.0091,0.282,0.0173,0.4052,0.0649
"breast","NonlinearRbfSvm",0.9693,0.0154,0.9932,0.0052,0.0961,0.035,0.518,0.0236
"breast","ExtraTrees",0.9715,0.0129,0.996,0.0027,0.0813,0.0247,0.0106,0.0019
"breast","Adaboost",0.9688,0.0155,0.9858,0.008,0.9149,0.485,0.1506,0.0095
"breast","GradientBoosting",0.9676,0.0157,0.9944,0.0037,0.1248,0.0701,0.1188,0.0025
"breast","RandomForest",0.9727,0.0132,0.9948,0.004,0.0922,0.0316,0.0386,8e-04
"bupa","GaussNaiveBayes",0.5565,0.0427,0.6044,0.059,0.8083,0.1926,0.0029,3e-04
"bupa","KernelNaiveBayes",0.6575,0.0464,0.7043,0.0533,0.7172,0.1169,0.0075,5e-04
"bupa","LinearDiscriminant",0.6662,0.0535,0.712,0.0557,0.6232,0.0311,0.0063,0.0012
"bupa","GlmNet",0.6807,0.0563,0.7245,0.0601,0.6224,0.0448,0.1544,0.0022
"bupa","Cart",0.6546,0.0664,0.6689,0.0746,0.7179,0.2045,0.0072,5e-04
"bupa","C4.5DecisionTree",0.6671,0.0595,0.6707,0.0641,3.5972,1.8561,0.0301,0.0017
"bupa","LinearSvm",0.687,0.0504,0.729,0.0557,0.6229,0.0378,0.4139,0.034
"bupa","RegGaussBayes-diag",0.5546,0.0501,0.601,0.0591,0.7968,0.1763,0.0017,5e-04
"bupa","RegGaussBayes-lowrank",0.6048,0.0449,0.6481,0.0514,0.7886,0.1836,0.0056,0.0026
"bupa","RegGaussBayes",0.587,0.0435,0.6588,0.0526,0.7331,0.1399,0.0012,4e-04
