dataset,algorithm,acc.mean,acc.sd,auc.mean,auc.sd,loss.mean,loss.sd,time.mean,time.sd
twonorm,diag,0.976076442691459,0.00115040503037095,0.997600746009613,0.000134374064230445,0.0622530160579312,0.00189044589624682,0.00456666666723322,0.00100630198288402
twonorm,emp,0.962877400572851,0.00377159888708451,0.994180120704296,0.000936196135545636,0.106798400895705,0.0113462678303743,0.00436666666646488,0.000718395403181368
twonorm,oas,0.97718927548481,0.000786422644354667,0.997807022556811,6.16709579012377e-05,0.0596546726378606,0.000866408223062877,0.0041333333341754,0.00100801386569502
twonorm,ss,0.977085974550406,0.000952044237956536,0.997800011387198,6.23393451543741e-05,0.0597921885434492,0.00110548249049708,0.0128666666668626,0.0014558640840007
twonorm,ppca,0.976128093158661,0.00114900644554127,0.997654485963268,0.000101617177265213,0.0617079084753429,0.00140856028460204,0.0125000000009701,0.00090019155033201
twonorm,spc,0.976729116777011,0.0009280731151194,0.997752266644993,0.000100992604920293,0.0605468749378557,0.00147087279272208,0.594566666666651,0.171803753991325
twonorm,quic,0.970732967084566,0.00297251165569218,0.996359742530803,0.000536324962050852,0.0786374166095442,0.0084519481398466,0.0101999999998952,0.00205778588626767
threenorm,diag,0.832676056338028,0.00689927710891916,0.914361520862263,0.00606483154368974,0.373332327837471,0.012203725458862,0.0183333333339154,0.0695702737427484
threenorm,emp,0.814474178403756,0.00952465824863422,0.895824648548568,0.0100057212971929,0.47318208751491,0.029277404436148,0.0043000000002697,0.000836660026479618
threenorm,oas,0.862197183098592,0.00591162944209677,0.9385499940488,0.00452692951635792,0.318069101959019,0.0125210985281219,0.00356666666654443,0.000626062314898657
threenorm,ss,0.861295774647887,0.00717203387441943,0.937738430205647,0.00494184037095005,0.320462113540077,0.0137084015279498,0.0110333333320644,0.000764890496571427
threenorm,ppca,0.879929577464789,0.0027980794196493,0.953597587780202,0.00172569446172343,0.28134645292179,0.00392429876945484,0.0124000000008285,0.00127576886953043
threenorm,spc,0.869737089201878,0.00427167954613062,0.945500572637704,0.00277282963727939,0.301287120459601,0.00709557316729037,0.530499999999787,0.179617553477547
threenorm,quic,0.845854460093897,0.0163076320944903,0.926819797659195,0.0115691049039317,0.359288375622819,0.0415139968654918,0.0123666666666395,0.00265853645620818
ringnorm,diag,0.985955768418087,0.000686266358205872,0.998742257882883,7.37214603273923e-05,0.0387187748680132,0.00117796280965493,0.00456666666674816,0.000935260735449488
ringnorm,emp,0.968807813307039,0.00404048296950742,0.997229375169342,0.000293822575243676,0.092062851190022,0.0137292616982344,0.00436666666694994,0.00112903172714238
ringnorm,oas,0.986542705545382,0.000396244847822517,0.998826719988315,4.61524446272397e-05,0.0370400023670499,0.000537946994744431,0.0044000000001688,0.00298963727418559
ringnorm,ss,0.986368972155703,0.000529249020830613,0.998825314976631,5.032064580407e-05,0.0371345286256658,0.000685646302853116,0.0141999999987699,0.00592132324433879
ringnorm,ppca,0.98565995210593,0.000705198344664069,0.998722759707546,6.5673524109615e-05,0.0388539307127256,0.000859833669362144,0.0155999999995402,0.015275854284741
ringnorm,spc,0.985284312344462,0.00097645473797048,0.998797257078507,5.08933517885122e-05,0.04032455799553,0.00252660361923952,0.602133333332798,0.195334678901645
